PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
1629662,62,Mfiondu Kabengele,1612709915,MNE,17,479,120,200,0.6,14,47,0.298,39,51,0.765,73,99,172,34,14,19,29,74,323,441,1.17,0.48
1626208,66,Keifer Sykes,1612709932,MCC,22,695,123,306,0.402,33,108,0.306,27,31,0.871,10,68,78,180,22,4,60,55,322,359,3.0,0.37
1629674,66,Neemias Queta,1612709914,STO,19,527,131,193,0.679,1,5,0.2,34,43,0.791,57,101,158,47,18,30,44,57,322,460,1.07,0.41
1631495,68,Donovan Williams,1612709929,CPS,23,620,123,261,0.471,30,82,0.366,24,37,0.649,21,65,86,29,23,11,37,82,316,277,0.78,0.62
1630246,68,Kamar Baldwin,1612709915,MNE,21,688,128,252,0.508,41,97,0.423,11,15,0.733,23,72,95,102,35,10,35,40,316,395,2.91,1.0
1629718,70,Charlie Brown Jr.,1612709909,DEL,23,575,112,205,0.546,33,92,0.359,35,39,0.897,31,93,124,47,35,12,41,52,315,395,1.15,0.85
1630259,71,Jordan Ford,1612709914,STO,22,566,121,244,0.496,44,111,0.396,17,22,0.773,6,38,44,95,23,6,29,27,314,325,3.28,0.79
1629648,72,Jordan Bone,1612709910,FWN,17,606,113,248,0.456,37,104,0.356,29,37,0.784,4,72,76,96,18,2,42,26,311,318,2.29,0.43
1631241,73,Javon Freeman-Liberty,1612709923,WCB,17,511,106,216,0.491,32,86,0.372,38,48,0.792,22,76,98,48,23,12,21,36,310,350,2.29,1.09
1629801,74,Brandon Randolph,1612709890,AUS,20,543,111,223,0.498,30,82,0.366,34,47,0.723,25,50,75,36,19,11,23,50,308,301,1.56,0.83
1630190,74,Elijah Hughes,1612709927,WIS,19,630,99,232,0.427,59,157,0.376,22,25,0.88,10,68,78,42,16,12,25,47,308,295,1.68,0.64
203504,76,Trey Burke,1612709914,STO,20,504,104,241,0.432,47,115,0.409,31,35,0.886,4,42,46,70,11,3,22,30,307,274,3.18,0.5
1630577,77,Julian Champagnie,1612709890,AUS,21,621,102,258,0.395,53,155,0.342,27,32,0.844,26,95,121,38,14,22,30,35,305,309,1.27,0.47
1628021,78,David Nwaba,1612709932,MCC,18,617,109,200,0.545,13,43,0.302,42,55,0.764,37,106,143,59,27,19,38,51,302,408,1.55,0.71
1629076,78,Tyler Cook,1612709903,SLC,19,624,128,207,0.618,0,0,0.0,28,58,0.483,66,125,191,65,7,14,58,44,302,412,1.12,0.12
1630270,78,Xavier Sneed,1612709922,GBO,23,716,100,242,0.413,51,145,0.352,28,37,0.757,17,83,100,49,17,13,37,64,302,293,1.32,0.46
1628150,81,Rigoberto Mendoza,1612709931,MXC,19,653,117,236,0.496,28,79,0.354,24,28,0.857,23,94,117,80,26,8,39,48,300,369,2.05,0.67
1630284,82,Kevon Harris,1612709925,LAK,16,492,101,204,0.495,36,90,0.4,39,45,0.867,25,65,90,47,18,7,31,44,299,321,1.52,0.58
1631385,83,Stacy Davis,1612709903,SLC,23,585,118,230,0.513,28,78,0.359,24,27,0.889,44,102,146,52,11,10,30,52,297,371,1.73,0.37
1629788,83,Tyler Hall,1612709918,TEX,20,659,99,227,0.436,76,188,0.404,14,18,0.778,11,65,76,34,12,1,22,26,297,266,1.54,0.55
1630218,85,Robert Woodard II,1612709889,OKL,23,616,109,239,0.456,31,92,0.337,26,39,0.667,38,118,156,36,22,9,43,19,295,332,0.84,0.51
1630547,86,James Bouknight,1612709922,GBO,18,437,96,232,0.414,47,124,0.379,29,37,0.784,11,81,92,45,13,6,41,30,293,264,1.1,0.32
1631317,87,Adonis Arms,1612709926,MHU,21,566,101,226,0.447,25,81,0.309,37,44,0.841,18,114,132,69,28,11,43,36,292,357,1.6,0.65
1631306,88,Cole Swider,1612709905,SBL,17,470,97,199,0.487,58,132,0.439,21,23,0.913,15,66,81,32,13,4,15,31,288,299,2.13,0.87
1630600,89,Isaiah Mobley,1612709893,CLC,14,464,103,196,0.526,17,47,0.362,40,55,0.727,38,74,112,57,12,17,44,43,286,332,1.29,0.27
1631222,89,Jake LaRavia,1612709926,MHU,15,431,96,198,0.485,43,109,0.394,30,33,0.909,21,53,74,41,17,9,38,37,286,284,1.08,0.45
1628605,91,Dusty Hannahs,1612709902,SCW,16,484,99,212,0.467,52,116,0.448,22,23,0.957,15,36,51,58,10,0,38,25,284,251,1.53,0.26
1631322,92,Javante McCoy,1612709905,SBL,20,503,114,215,0.53,24,58,0.414,19,22,0.864,14,66,80,68,10,5,28,32,282,313,2.43,0.36
1627885,92,Shaquille Harrison,1612709905,SBL,22,711,115,224,0.513,8,37,0.216,27,38,0.711,15,113,128,184,46,18,61,69,282,477,3.02,0.75
1631211,94,Trevor Keels,1612709919,WES,19,601,106,253,0.419,41,116,0.353,16,23,0.696,15,45,60,69,18,2,45,36,281,231,1.53,0.4
1630649,95,Stanley Umude,1612709932,MCC,18,493,95,230,0.413,46,114,0.404,24,34,0.706,12,64,76,18,7,12,34,40,279,213,0.53,0.21
1626144,96,Emmanuel Mudiay,1612709911,IWA,18,543,105,225,0.467,22,70,0.314,28,35,0.8,20,71,91,99,17,5,45,31,278,318,2.2,0.38
1631455,96,Jaden Shackelford,1612709889,OKL,19,585,93,236,0.394,60,165,0.364,18,28,0.643,8,44,52,21,12,4,15,40,278,199,1.4,0.8
1631159,98,Leonard Miller,1612709930,GLI,17,494,115,222,0.518,10,40,0.25,19,27,0.704,57,118,175,24,13,7,26,44,276,354,0.92,0.5
1630665,99,Matt Lewis,1612709911,IWA,22,678,88,224,0.393,51,138,0.37,29,40,0.725,14,65,79,55,13,6,30,37,275,251,1.83,0.43
1631213,99,Tyrese Martin,1612709929,CPS,15,508,106,210,0.505,19,59,0.322,26,31,0.839,27,108,135,28,14,2,45,27,275,300,0.62,0.31
1629653,101,Devon Dotson,1612709928,CCG,20,607,111,211,0.526,19,51,0.373,22,29,0.759,14,57,71,119,25,6,37,34,274,351,3.22,0.68
1628435,102,Chance Comanche,1612709914,STO,22,520,112,189,0.593,2,9,0.222,30,37,0.811,56,122,178,26,11,35,38,60,273,401,0.68,0.29
1630527,103,Brandon Boston Jr.,1612709924,ONT,12,413,96,207,0.464,20,60,0.333,32,38,0.842,12,66,78,32,9,1,27,26,272,248,1.19,0.33
1630643,103,Jay Huff,1612709928,CCG,19,497,110,173,0.636,14,35,0.4,23,29,0.793,39,111,150,32,8,69,27,47,272,435,1.19,0.3
1631386,105,Taze Moore,1612709918,TEX,17,560,107,203,0.527,33,78,0.423,16,25,0.64,39,87,126,57,29,13,32,38,271,359,1.78,0.91
1629962,106,Devin Cannady,1612709905,SBL,21,645,93,217,0.429,50,131,0.382,23,26,0.885,12,48,60,40,21,10,33,48,268,239,1.21,0.64
1630562,106,Matt Hurt,1612709926,MHU,20,457,106,183,0.579,33,82,0.402,13,18,0.722,24,57,81,27,12,11,21,45,268,296,1.29,0.57
1630186,108,Jahmi'us Ramsey,1612709889,OKL,14,386,87,192,0.453,21,63,0.333,40,52,0.769,8,30,38,60,17,3,51,24,262,212,1.18,0.33
1630696,109,Dru Smith,1612709921,LIN,16,520,97,196,0.495,36,91,0.396,19,29,0.655,14,75,89,83,31,12,30,44,261,337,2.77,1.03
1630569,110,DJ Steward,1612709914,STO,22,505,93,210,0.443,35,86,0.407,21,23,0.913,16,38,54,94,19,6,49,32,260,265,1.92,0.39
1629819,110,Yudai Baba,1612709918,TEX,20,690,101,193,0.523,28,68,0.412,18,27,0.667,18,86,104,46,30,4,26,36,260,317,1.77,1.15
1629185,112,Chris Chiozza,1612709921,LIN,22,711,92,197,0.467,55,120,0.458,12,14,0.857,11,98,109,189,38,9,54,48,259,443,3.5,0.7
1630648,112,Jordan Schakel,1612709902,SCW,22,599,86,200,0.43,52,133,0.391,20,21,0.952,29,66,95,38,13,1,32,51,259,259,1.19,0.41
1630296,114,Braxton Key,1612709909,DEL,21,516,101,205,0.493,24,61,0.393,19,29,0.655,38,112,150,78,35,27,38,50,256,394,2.05,0.92
1630312,114,Robert Baker,1612709925,LAK,22,576,102,209,0.488,22,82,0.268,16,29,0.552,50,109,159,38,30,39,37,58,256,365,1.03,0.81
1630590,116,Scotty Pippen Jr.,1612709905,SBL,11,307,75,152,0.493,19,53,0.358,54,65,0.831,11,32,43,68,14,5,34,37,255,263,2.0,0.41
1630554,117,Jason Preston,1612709924,ONT,16,528,96,201,0.478,34,82,0.415,19,24,0.792,16,72,88,114,10,4,30,19,254,330,3.8,0.33
1631165,118,Keon Ellis,1612709914,STO,15,460,90,176,0.511,30,66,0.455,27,33,0.818,19,55,74,50,25,8,29,45,253,289,1.72,0.86
1630703,118,Scoot Henderson,1612709930,GLI,15,452,94,207,0.454,11,38,0.289,33,43,0.767,14,61,75,104,18,9,54,48,253,282,1.93,0.33
1631231,120,James Akinjo,1612709919,WES,17,504,99,221,0.448,30,87,0.345,16,21,0.762,5,50,55,119,23,0,35,31,252,287,3.4,0.66
1631321,120,Sidy Cissoko,1612709930,GLI,19,553,87,176,0.494,28,76,0.368,28,40,0.7,14,42,56,62,22,15,32,57,252,274,1.94,0.69
1630177,120,Theo Maledon,1612709922,GBO,16,499,87,192,0.453,23,74,0.311,34,45,0.756,10,81,91,79,16,7,50,26,252,279,1.58,0.32
1630750,123,Obadiah Noel,1612709919,WES,22,606,94,189,0.497,25,66,0.379,22,34,0.647,25,36,61,41,35,5,34,48,250,251,1.21,1.03
1631230,124,Dominick Barlow,1612709890,AUS,16,465,97,176,0.551,7,22,0.318,27,35,0.771,52,83,135,26,12,28,29,37,248,333,0.9,0.41
1627760,125,Cat Barber,1612709929,CPS,21,472,85,205,0.415,20,51,0.392,30,39,0.769,6,54,60,87,15,3,35,37,247,248,2.49,0.43
1630207,126,Nate Hinton,1612709893,CLC,18,602,98,201,0.488,34,95,0.358,10,14,0.714,29,79,108,36,23,6,31,48,246,281,1.16,0.74
204065,127,David Stockton,1612709910,FWN,17,570,88,189,0.466,27,70,0.386,26,29,0.897,5,43,48,164,24,6,44,66,245,339,3.73,0.55
1631365,128,Garrison Brooks,1612709919,WES,19,554,101,176,0.574,0,6,0.0,26,41,0.634,59,147,206,40,6,11,39,52,244,378,1.03,0.15
1631120,128,JD Davison,1612709915,MNE,20,611,97,189,0.513,16,47,0.34,19,26,0.731,13,60,73,169,14,8,52,42,244,357,3.25,0.27
1630701,130,Michael Foster Jr.,1612709909,DEL,19,437,95,179,0.531,8,26,0.308,26,35,0.743,35,101,136,32,17,41,36,32,243,340,0.89,0.47
1630219,130,Skylar Mays,1612709931,MXC,20,493,87,203,0.429,22,87,0.253,27,31,0.871,13,57,70,98,9,5,29,26,243,276,3.38,0.31
1628035,132,Alfonzo McKinnie,1612709931,MXC,18,504,90,225,0.4,21,81,0.259,24,33,0.727,28,73,101,19,16,4,33,51,242,205,0.58,0.48
1629232,132,Kaiser Gates,1612709921,LIN,18,442,87,161,0.54,48,87,0.552,11,16,0.688,33,83,116,32,17,15,16,49,242,327,2.0,1.06
1630551,134,Justin Champagnie,1612709904,SXF,14,411,92,178,0.517,17,60,0.283,23,32,0.719,38,61,99,12,8,8,17,25,238,253,0.71,0.47
1630625,135,Dalano Banton,1612709920,RAP,12,392,87,196,0.444,22,77,0.286,25,29,0.862,11,73,84,60,15,11,36,24,237,258,1.67,0.42
1628982,135,Melvin Frazier Jr.,1612709919,WES,19,538,85,165,0.515,19,48,0.396,29,33,0.879,35,107,142,30,25,5,27,43,237,328,1.11,0.93
1630556,137,Kessler Edwards,1612709921,LIN,14,473,87,179,0.486,32,80,0.4,18,19,0.947,14,74,88,27,19,15,32,28,236,260,0.84,0.59
1631266,137,Kyler Edwards,1612709932,MCC,18,459,70,172,0.407,44,123,0.358,26,35,0.743,9,63,72,57,17,6,19,25,236,258,3.0,0.9
1630250,139,Marko Simonovic,1612709923,WCB,15,427,90,168,0.536,23,54,0.426,20,24,0.833,37,97,134,24,6,6,29,41,235,294,0.83,0.21
